nombre,seguidores,amigos,tweets,localizacion,verificado,idioma,protected
JoanSantonja,471,344,1298,Valencia,False,ca,False
EvaCortes70,0,24,0,,False,es,False
NuriaPeg,41,120,257,Valencia,False,es,False
florgp31,71,311,561,,False,es,False
hilariojbg,866,3010,4025,Junto al ombligo de la luna,False,es,False
MariaJoseBarbe6,10,90,1,,False,es,False
willyvlc,233,756,3203,,False,es,False
ml_bachir,242,2774,673,Sevilla,False,es,False
darkboy29a,8,78,493,,False,es,False
verdu_emma,8,201,72,Valencia,False,es,False
argonathobbes,49,175,3248,,False,es,False
VCF01919,332,515,3456,,False,es,False
garciagrancha,221,643,3862,Godella,False,es,False
Juanfcoferris,755,1559,3468,,False,es,False
juanmmb,1,50,0,,False,es,False
VicentSway,15,337,230,,False,es,False
VicenteCs5,14,81,371,Valencia,False,es,False
pepevcf59,594,983,21708,,False,es,False
InstNavarroHnos,843,290,1115,Valencia,False,es,False
voro13n,121,437,1339,Sueca (Valencia) ,False,es,False
Heinsenberg96,12,169,212,,False,es,False
paula_rozalen,2,105,1,,False,es,False
Monikafd,77,103,142,Valencia,False,es,False
J789104554,0,25,0,,False,es,False
iamalbertdotcom,92,823,506,Val\u00e8ncia,False,es,False
VoceandoVlc,54,56,51,Valencia,False,es,False
sandra311015,74,224,261,Alzira,False,es,False
ropeo82,63,129,166, Silla.L'Horta Sud. V\u00e0lencia.,False,es,False
elcontrarias,19,70,287,,False,es,False
CarlosArNa2,5,140,12,Valencia,False,es,False
gilcar66,21,217,0,,False,es,False
UtopicRooms,181,1047,296,Castell\u00f3n de la Plana,False,es,False
rsoriano69,27,34,52,,False,es,False
Szientia,22,126,147,España,False,es,False
Ares_ewe,28,130,1414,Espanya,False,ca,False
lolanieveslosa,2,43,25,,False,es,False
helenvc4,2,15,2,,False,es,False
PatitoMonfort,78,210,7608,Un estanque de Valencia.,False,es,False
Dani_Ropero,233,348,2173,Valencia,False,es,False
ayet69,254,2060,4833,Valencia,False,es,False
theraxmen4,116,252,6811,Valencia,False,es,False
aroacaes,20,107,6,,False,es,False
AERTE_FEDCV,510,478,1396,Valencia,False,es,False
fermillando,1261,1508,2491,Valencia,False,es,False
pplaza_,353,960,3696,Valencia,False,es,False
juancar_parra,47,243,165,,False,en,False
IvanHoromanski,3,38,35,Valencia,False,es,False
Patriboes,27,89,82,,False,es,False
romero_sanchis,32,291,335,Algemes\u00ed,False,es,False
djaskew,960,4008,93471,Surrey,False,en,False
CasualHoteles,1692,965,6981,Valencia Sevilla Bilbao Madrid,False,es,False
GazpatxoFestC,1615,2058,4997,Valencia,False,es,False
ferrancabanyal,33,68,18,,False,en,False
DarkShu,331,222,17420,Valencia,False,es,False
ninita_87,665,3001,8712,España,False,en,False
sannoca9,301,234,6553,Valencia,False,es,False
maritroski,88,288,1887,,False,es,False
Governalia,137,320,164,Paterna,False,es,False
Sergio_h94,38,138,215,,False,es,False
RosaOrti2,40,79,1972,,False,ca,False
IsabelRoncero,50,543,228,Valencia,False,es,False
Guillem_Sanches,48,617,26,,False,es,False
ElSocioJimmy,338,573,3776,,False,ca,False
reddharma,1146,1158,12943,www.reddharma.com,False,es,False
GrupoSorollaEdu,2047,1252,3020,Valencia,False,es,False
latiti29,321,892,8012,,False,es,False
franbayona,275,578,13,Valencia,False,es,False
mkiev04,13,251,100,Valencia,False,es,False
blanchborja,189,215,399,Valencia,False,es,False
mentirasvlc,10,204,41,Valencia,False,es,False
Nadojar123,2,23,2,,False,es,False
Checkin_Hoteles,10342,6150,1753,España,False,es,False
miguelgiron1975,3494,993,20040,España,False,es,False
albadomngz,15,367,71,,False,es,False
ignacio_messana,10,28,10,,False,es,False
AmpaComenius,205,291,3574,,False,es,False
Francis88313458,13,135,12,,False,es,False
Totxa,772,1025,7267,Valencia,False,es,False
JoanBarrachina,13,113,1,,False,ca,False
mguillemla,8,11,7,,False,es,False
Lydicm_87,18,88,176,,False,es,False
Maria_Tordera,142,269,289,Valencia,False,es,False
andreuvcf,172,603,1356,,False,es,False
ElenaVP,385,360,207,Valencia,False,es,False
pgcodina,0,90,3,,False,es,False
albertoloho,1,59,0,,False,es,False
rfjrifjrfijdcmr,4,290,50,,False,es,False
CuinaDePoble,529,3221,1,Comarques Centrals,False,ca,False
ChemeChm,17,382,0,Lost in translation,False,es,False
Jaume_Hurtado,5555,1856,15930,VALENCIA-Oran-Lima,False,es,False
komorebi_woods,12,159,13,España,False,es,False
IreneLibra55,81,210,224,Valencia,False,es,False
torpeder666,84,260,272,,False,ca,False
Jovilace,195,151,1788,Valencia,False,es,False
rosana110499,0,12,0,,False,es,False
AcGaCgAC,86,272,2250,Valencia,False,es,False
bebiendoamorro,145,435,470,Valencia,False,es,False
EsterStr,80,241,220,,False,es,False
JoeKruder,25,473,48,Valencia,False,es,False
deldunque,133,252,3875,España,False,es,False
abelamarcos,15,138,26,Valencia,False,es,False
espejimvill,173,1424,1,,False,ca,False
Colector_Col,72,156,2116,Valencia,False,es,False
pepa_cal,10,79,35,Comunidad Valenciana,False,es,False
tafolbago,191,421,1056,Castell\u00f3 de la Plana,False,es,False
VFallero,31,195,1215,Comunidad Valenciana,False,es,False
Dadell79,227,665,1421,En frase breve,False,es,False
PerelloBelda,10,101,35,,False,ca,False
mjfluff,103,52,10923,,False,en,False
albert_gimeno,1223,2138,6081,Valencia,False,es,False
aliciaripolles,344,923,4027,,False,es,False
canomilag,365,477,1290,Espa\u00f1a-Valencia,False,es,False
Patachoup,29,123,1653,New York,False,es,False
Pilarhs1,411,300,2056,Valencia,False,es,False
sebastiaginer,525,1024,9930,Murla- Marina Alta,False,ca,False
beatrizsimonvlc,2375,1304,5904,Valencia,False,es,False
Cris74__,1,45,410,Valencia,False,es,False
marmornohales,25,81,143,Valencia,False,es,False
agarciacelda,943,1168,8064,Valencia,False,es,False
Vac32,4,9,1,,False,es,False
isa_asi2,23,81,38,,False,es,False
jomabelca,24,56,1,España,False,es,False
juanjomonedero,231,351,227,España,False,es,False
psicoemes,2,104,8,España,False,es,False
morfeillo,67,179,138,,False,es,False
roig_galmes,1,20,0,,False,ca,False
IzzyCarGar,0,20,0,,False,en,False
albriziass,0,15,0,Valencia,False,es,False
Emilia62410615,1,97,4,,False,es,False
JessCliMo,58,126,624,Paris,False,es,False
aalbiach,238,312,4106,Riba-roja de T\u00faria/Valencia,False,es,False
GabrielLFN,3,31,56,Valencia,False,es,False
Ramonballesterb,3,7,29,Valencia,False,es,False
dunevlc,48,185,1041,,False,es,False
hectorverona,19,139,18,verona ( Italia) ,False,es,False
ocarles,86,246,628,,False,es,False
elivan30,16,131,29,,False,es,False
AlexSori21,20,73,179,Valencia,False,es,False
deuvejota,188,412,162,Valencia,False,es,False
URBIOTICA,1605,634,1460,Barcelona,False,es,False
compromisrelleu,211,1485,194,Relleu,False,es,False
alejandrobv,418,1039,8012,,False,en,False
carboizco,90,976,441,,False,es,False
CercosJulio,0,49,0,,False,es,False
vixelvi,540,714,3760,,False,es,False
crlscammac,699,797,51403,,False,es,False
MarianetNovelda,281,1953,20,Marianet,False,es,False
bertix84,131,428,1672,,False,es,False
Steven94n,375,2703,17215,Valencian Community,False,en,False
MercheMoner,23,209,98,Valencia,False,es,False
juanaalemany,1517,2201,37829,,False,es,False
almapa_94,130,310,674,Me ,False,es,False
esthermar00,8,64,7,,False,es,False
nikoo9,78,211,157,A Coru\u00f1a,False,en,False
SalvaPC13,19,69,20,Valencia,False,es,False
Ae_CLASE,215,130,1025,Valencia,False,es,False
Anaevaccoo,103,253,266,Valencia,False,es,False
InmaOrozco,188,609,435,Valencia,False,es,False
mayte64397238,184,1650,2,,False,es,False
Davtoto,13,204,7,Valencia,False,es,False
Josefin61763884,8,22,12,Valencia,False,es,False
mudegp,10,62,25,,False,es,False
AlbroDavid,83,632,722,,False,es,False
GarciaMarian,5,116,173,,False,es,False
turia_verd,44,120,595,,False,es,False
macareno54,1330,1568,3972,,False,es,False
Robiznao,19,179,271,Valencia,False,es,False
carpape_,7,156,420,España,False,ca,False
gaellycian,75,422,2386,el mundo + Galicia + TABARNIA,False,es,False
simo1920ca,772,672,37877,,False,it,False
Perepicapere,11,75,21,,False,es,False
DODELMARIA,2,54,0,,False,ca,False
FractalsEducart,128,305,242,Comunitat Valenciana,False,es,False
inmide_uv,243,511,262,,False,es,False
Cristinalbero,241,201,2191,Banyeres de Mariola,False,es,False
cicloempresa,231,532,483,Comunidad Valenciana,False,es,False
INSPIRE_EU_com,508,1562,532,Valencia,False,en,False
yoigolevante,354,1078,466,Valencia,False,es,False
CristinaVicentB,83,243,1147,Valencia,False,es,False
TJ__SG,6,92,1,,False,es,False
Vipservyp2010,13,49,28,Valencia,False,es,False
maorlie,31,50,17,,False,es,False
RichardLens_,18,56,36,Valencia,False,es,False
Marturet_jose,113,499,1033,Valencia,False,es,False
brightbigcity,22,203,151,,False,es,False
alecdotico,257,236,2022,Valencia,False,es,False
zalvaron,52,111,99,,False,es,False
EmilioJPerez,8507,7456,16768,Valencia,False,es,False
havana_marti,1,95,0,,False,es,False
FlatsFriends,6,23,6,Valencia,False,en,False
katyjuanvi,40,452,305,,False,es,False
ahorayaquesi,200,681,1324,,False,es,False
DavidJSaiz,376,999,535,Valencia,False,es,False
hector_chg_data,45,237,20,Valencia,False,es,False
pavapark,76,19,135,Valencia,False,es,False
angelrm110,445,263,1604,Valencia,False,es,False
MujerFscpvCCOO,617,605,1050,Valencia,False,es,False
lizzfany,533,1208,26557,Valencia,False,es,False
albagandiauv,1,21,0,Valencia,False,es,False
zanquislarguis,25,330,13,Valencia,False,es,False
JordiAlamanVLC,220,325,567,Valencia,False,es,False
vic_tor_tor,92,155,275,Espanya,False,ca,False
Orange_Idiomas,102,164,284,Valencia,False,en,False
BinaSimal,29,125,135,,False,es,False
maclepuc,700,1427,3427,Valencia,False,es,False
esquerraunida,12328,2304,30209,Valencia,False,es,False
PodemMES,294,669,728,Valencia,False,es,False
serrherencias,11,135,1,Valencia,False,es,False
d4410efccc634a1,3,64,4,,False,es,False
isa_isa_81,22,191,8,Valencia,False,es,False
SandraCrdoba5,39,63,76,,False,es,False
Fran_ciska15,456,1966,966,,False,es,False
maripepi52,47,137,1096,,False,es,False
mediterunner,366,1296,250,Mediterr\u00e1neo,False,es,False
DavidProRider,22,349,16,Barcelona,False,es,False
Garrote66,17,60,16,,False,es,False
VOSTcvalenciana,2348,350,6498,Comunitat Valenciana,False,es,False
mireia_dasi,6,131,2,,False,ca,False
Marian04216261,4,105,0,,False,es,False
evavaliente9,68,149,1182,,False,es,False
SergioBargues,576,1616,984,Valencia,False,es,False
melisa077,260,688,4629,Valencia,False,es,False
RamiroPrietoRui,30,1075,22,Valencia,False,es,False
NuriaGrau4,95,491,383,Comunidad Valenciana,False,en,False
WanJo_13,237,383,542,España,False,es,False
Gabritou008,865,4935,2100,,False,es,False
JoseTorneroRoca,55,462,103,Valencia,False,es,False
_laurabayarri_,163,494,103,Valencia,False,es,False
k0nimaki,816,512,4892,Val\u00e8ncia,False,es,False
MsRipoll,343,280,860,,False,es,False
antonio_arnau,2127,2794,60786,Valencia,False,es,False
HecSoSan,108,288,184,,False,es,False
TanksH3,4,188,9,Valencia,False,es,False
Puchol_II,1276,639,2756,Val\u00e8ncia/Vinalesa/Gafa\u00fct,False,es,False
corrita33,43,111,1197,Valencia,False,es,False
dypsela,110,147,295,Valencia,False,es,False
rubenhernanmas,348,2006,2752,Oliva,False,es,False
jordi_rizo,55,275,52,,False,es,False
javier_cabanero,84,216,392,Comunidad Valenciana,False,es,False
lucialu96,295,206,10368,,False,es,False
iphaloma,31,118,19,Valencia,False,es,False
Elias_Myers,113,162,3643,Valencia,False,es,False
Maxi_Cash,154,911,168,Valencia,False,es,False
MonicaChumillas,12,217,3,Comunidad Valenciana,False,es,False
Spoyler_6,40,98,3,,False,es,False
GandiaRentals,51,78,311,Gandia,False,es,False
carndegos,105,765,2461,,False,ca,False
lalinort,32,136,38,,False,ca,False
daniel07_tena,212,319,4762,Valencia,False,es,False
Ricardo_RaGui,98,3535,8856,Ciudadano del mundo,False,es,False
valenciafruits,6448,3124,13048,Valencia,False,es,False
lubarca61,8,30,58,,False,es,False
tinaperezpas,404,435,17107,Valencia,False,es,False
wiborr,252,1182,5804,Valencia,False,es,False
Nostresport,5479,1556,63256,Comunidad Valenciana,False,es,False
AlexJorda23,417,367,4130,Alaska,False,es,False
gbigne,133,102,364,Valencia,False,es,False
AKIHOR,109,671,509,El viatge a Itaka continua! *,False,ca,False
Kokecaste_16,11,63,475,,False,es,False
Valofko1,16,69,45,,False,en,False
patilaindia,271,577,3299,Valencia,False,es,False
Beatriu_Navarro,125,233,462,Ac\u00ed i all\u00e0,False,ca,False
franco_manuel18,466,782,9311,,False,es,False
a_jocandi,133,636,41,Paterna,False,es,False
InmaNav42288577,5,77,9,,False,es,False
ImmaOrob,8,318,1803,Valencia,False,es,False
agri1987,0,53,0,,False,es,False
MarijoQuijada,310,788,5814,Valencia,False,es,False
Fanymf9,137,438,1543,Valence,False,es,False
Francis74681873,33,328,12,Valencia,False,es,False
6974177,413,736,3702,El Perell\u00f3,False,es,False
eduardokinbaran,283,560,19526,Venezuela,False,es,False
CANOSALOLA,60,194,517,,False,es,False
veamentiraotro,39,288,1395,,False,es,False
Belenchu80,29,76,178,,False,es,False
ximoxmb,33,198,76,,False,es,False
arantxayarza,503,683,483,,False,es,False
mjmembrado,67,150,648,,False,es,False
salhuellus,22,130,40,España,False,es,False
1camac,19,113,84,SL El Escorial y Valencia,False,es,False
ccdalfafar,104,340,283,Alfafar (46910),False,es,False
AnaIsabelCaro,35,121,297,,False,es,False
simplementebor,524,96,306,Un lugar llamado mundo,False,es,False
lluneter,17,220,20,,False,ca,False
RoseSM13,89,327,51,Valencia,False,es,False
mafaldita85,86,469,225,Valencia,False,es,False
ismelbooks,125,915,804,Valencia,False,es,False
Marta_GR77,62,271,3070,,False,es,False
gustavoenpunto,353,524,3583,Valencia,False,es,False
Peace_pace_paix,22,1013,231,,False,es,False
grc_valencia,56,319,2057,Valencia,False,es,False
sarahbellver,478,319,1519,ERROR 404 not found,False,es,False
sacraLobato,9,97,1,,False,en,False
Taxi_Luxe_VLC,52,285,227,\u00c1rea de prestaci\u00f3n de Valencia,False,es,False
ManoloMontalt,27187,1482,109077,En el centro de mi mismo,False,es,False
miguel69vr,21,202,42,,False,es,False
eypablus,449,981,5270,Kepler-452b,False,es,False
Anuska_Pituska,211,133,23833,Valencia,False,es,False
toni_ballester,292,255,302,,False,es,False
ladelaseries,822,228,34393,Valencia,False,es,False
ignacioo_gomez,132,120,657,e(art) h,False,es,False
TPMM361,64,451,127,España,False,es,False
pepe_diy,66,550,158,,False,es,False
MNCeramica,1591,1230,1997,Valencia,False,es,False
MHayaSan,133,190,602,,False,es,False
seragonro0,4,28,6,,False,en,False
pspvpsoeciutatv,1187,1175,21018,Valencia,False,es,False
gras_cristina,49,296,1102,,False,es,False
genocheche,3,26,81,Valencia,False,es,False
marllopne,19,20,5,Valencia,False,es,False
PNCalderona72,200,240,3333,Valencia,False,es,False
NixeBar,117,242,302,Dr. Serrano,False,es,False
manucanes,40,511,3,España,False,es,False
Pedrojj50,76,303,7278,,False,es,False
compromislavall,803,709,790,La Vall d'Uix\u00f3,False,ca,False
paulloba3,174,203,520,Ciutadana del m\u00f3n,False,es,False
SattvaBodhi_,0,11,8,,False,es,False
Cesia_Nieto,298,2543,9214,Mexico,False,es,False
JoseSTarrega,6,130,536,Cap i casal,False,es,False
MANUCABO,445,483,15242,Valencia,False,es,False
_T0_th1nk,0,142,693,Espa\u00f1a,False,es,False
JuanAndresTomas,153,685,19844,,False,es,False
ximoarnal,70,891,108,,False,es,False
PATTYALICANTE75,547,716,28627,Alicante,False,es,False
aalbert74,53,189,666,,False,es,False
cmateug,11,78,61,Valencia,False,ca,False
Delia_Mart,129,523,61,Val\u00e8ncia,False,es,False
BernabeuRamon,246,345,1319,Valencia,False,es,False
dandygrey1,11,49,58,Val\u00e8ncia,False,es,False
MariadeQuesada,1062,965,2909,Valencia,False,es,False
CorredorMedite1,189,659,649,Senia,False,en,False
Andres87866144,1,137,1,,False,es,False
NorberValEsp,7,67,37,Valencia,False,es,False
AVPCCrevillent,31,203,10,Crevillent,False,es,False
Ca_Za_24,1,26,0,,False,es,False
lunamoche,92,652,984,,False,es,False
AntonioPasMonar,699,2177,10857,Valencia,False,es,False
alis91sla,185,395,3219,,False,es,False
hernanderafel,4,80,403,Polo Norte,False,es,False
taxi_Tomasa,2594,4982,11777,Barcelona,False,es,False
elisaaabeth3,29,337,97,,False,es,False
aonmagazine,56,235,72,Sagunto,False,es,False
FilmoSantJoan,313,2387,67,San Juan de Alicante,False,es,False
13_faro,219,2684,0,Madrid,False,es,False
AcademiaCeos,49,53,340,Castell\u00f3n 8.Valencia 963523154,False,es,False
pussseta,87,381,62,Castell\u00f3n,False,es,False
Psfutbol,1093,632,372,,False,ca,False
epxavier,925,78,8353,C/ Pintor L\u00f3pez,False,es,False
luiscarnero,71,138,363,Valencia-España,False,es,False
PlataformaVLc,945,724,2047,Valencia,False,es,False
Lauritta_Fdz,22,267,658,Valencia,False,es,False
Haman2Haman,20,384,51,,False,es,False
Aurora_VP,1407,984,24563,\u2764Comprometida con @JuanmiMdE\u2764,False,es,False
UVA_InValencia,212,56,2144,Valencia,False,es,False
Conchy1975,18,76,119,Comunidad Valenciana,False,en,False
AcabaCnLaRutina,145,508,4108,Valencia,False,es,False
Rds6_0,34,197,21,UniversidadPolit\u00e9cnicaValencia,False,es,False
vicente_tyko,56,325,82,,False,es,False
amazocue,4,16,12,,False,es,False
APCValencia,260,218,5787,Valencia,False,es,False
ElectricasNet,76,147,123,España,False,es,False
Migibor,464,452,4112,Valencia,False,es,False
paumogal,20,111,30,Val\u00e8ncia,False,es,False
FallaJuandeMena,384,461,121,Valencia,False,es,False
VedrunaValencia,296,400,759,Valencia,False,es,False
A__Lloret,148,459,46,Sabadell - Valencia,False,ca,False
Sergi_mges,34,145,275,Valencia,False,es,False
joanM96,375,573,3557,Algemes\u00ed,False,es,False
GrijalboA,48,206,126,,False,es,False
FccSantiago,24,170,8,,False,es,False
fjrm77,415,1324,6035,Valencia,False,es,False
Habitantvlc,18,305,23,,False,es,False
nuria_jo,256,325,781,Valencia,False,es,False
lolagildel,566,3243,2461,,False,es,False
Angels_BP,1063,963,1801,Valencia,False,es,False
JovesVQ,313,147,1030,Valencia,False,es,False
CocemfeAlicante,1694,1303,2312,Alicante,False,es,False
AngelesFuerte,22,172,16,,False,es,False
MC_Perez85,31,70,47,Valencia,False,es,False
criiis29,469,357,15449,Valencia,False,es,False
VicenteLlovet,18,32,5,,False,es,False
luckitossalet,0,96,22,,False,es,False
CSanRamon283,196,441,399,La Patacona,False,es,False
amicsprada,173,463,1499,PPCC,False,es,False
Maiteducaju,99,216,86,Valencia,False,es,False
lorecomin,38,67,9,Algemes\u00ed,False,es,False
crisnasaba,1190,848,12794,Valencia,False,es,False
FousseyniCisse5,467,4966,41,Je M.appel Fousseyni Cisse ,False,es,False
AliciaCM7,225,331,210,,False,es,False
franjafesan,18,182,113,,False,es,False
Elena_RachelK,229,284,1872,,False,es,False
MA_Genoves_R,16,238,33,Foios,False,es,False
Blog_Casusbelli,13,100,2,España,False,es,False
Quiqueak,91,999,96,Valencia,False,es,False
PilarTorto,5,41,0,Valencia,False,es,False
KilianCuerda,1536,2212,15061,Valencia,False,es,False
MEFEPE,29,64,282,,False,es,False
jmiguelguirado,30,357,236,Valencia,False,es,False
Maheshsamtani,55,323,13,Valencia,False,es,False
aloap1982,80,347,1373,Valencia,False,es,False
mcjoma2,82,178,589,,False,es,False
tehure,143,349,8458,,False,es,False
mjosemartinez16,5,61,0,,False,es,False
ange_losa,58,327,195,,False,es,False
SaezCifelli,1,109,6,,False,es,False
CasalBBca2017,169,798,30,,False,es,False
guillermoiba2,8,107,0,,False,es,False
fxpereira,78,767,5,,False,es,False
andreitafuss,16,79,18,,False,es,False
JOSEMEB,1295,4498,81,GODELLETA 46388 (Valencia),False,es,False
alcami67,830,464,4154,,False,es,False
cuidaOceanoAzul,95,418,20,Alzira,False,es,False
mls7210,4,90,3,,False,es,False
14raquel14,9,76,153,Daim\u00fas,False,es,False
begojzcz,71,565,301,Valencia - Barcelona,False,es,False
msrogers_eu,550,642,3264,Looking for the next Challenge,False,en,False
ingeniotortuga,28,440,520,España,False,es,False
OscarProtocolo,376,667,175,Elche,False,es,False
veronicapocovi,25,282,36,,False,es,False
nacho_Carbonell,20,176,40,Valencia,False,es,False
Tecnoeducavlc,35,117,66,Valencia,False,es,False
miguelribar,7,160,36,,False,es,False
RafaGuaje,438,1851,8829,En Valencia (Manises),False,es,False
ciao_beibi,19,48,398,,False,es,False
Vicepre15776791,1,36,0,,False,es,False
faustino_fernan,14,100,4,,False,es,False
quercusfaginea,14,17,0,,False,es,False
VictoriasbF,31,132,144,Valencia,False,es,False
mmarcosvivancos,12,151,40,Godella,False,es,False
MagilEspectacul,14,207,83,Valencia,False,es,False
AcadmiaNavargos,7986,5793,37,Valencia,False,es,False
luisadanielams,30,152,22,Valencia,False,es,False
CandiBarroso,1896,1547,9573,Valencia,False,es,False
laruta0,424,2139,279,España,False,es,False
94Pardo,220,445,3596,Valencia,False,es,False
monicadiezg,188,230,17770,España,False,es,False
m_carmenro,23,179,209,Valencia,False,es,False
GensCornelia,256,636,10448,Viena,False,es,False
ElviajedeCarlos,61,434,135,Alaqu\u00e0s,False,es,False
MyssLexii,1126,1877,8487,Paris\ud83d\uddfc Valencia \ud83c\uddea\ud83c\uddf8,False,fr,False
sandrcazorla,40,72,19,Alboraya ,False,es,False
AVurchio,627,1076,1696,Valencia,False,en,False
SorayaGCuervo,19,361,2797,,False,es,False
escamos70,15,59,31,,False,es,False
CarmenS45756459,42,223,1,Valencia,False,es,False
Todoauneuro,89,217,2117,Valencia,False,es,False
FSMCV,4689,1115,28122,Valencia,False,es,False
Kenzall,39,412,46,,False,en,False
jordi_palanca,24,55,9,,False,es,False
LaColmenaTN,97,436,34,Valencia,False,es,False
aeioLuz,576,521,1283,Valencia,False,es,False
rosa_dll,43,165,222,Valencia,False,es,False
inst_vet,203,537,56,Silla,False,es,False
nmedmar,438,848,10154,,False,ca,False
ismael_vicedo,351,1074,2083,,False,es,False
sandra_paniagua,201,545,634,Valencia,False,es,False
eating_city,189,281,472,France,False,en,False
ClaudiiaFandino,428,360,18629,Ponteareas,False,es,False
vegazcarraga,45,146,92,,False,es,False
JM_Sandoval_,477,598,3430,,False,es,False
quicatona,4,210,13,,False,es,False
victordiario,1,696,0,Valencia,False,es,False
JaumeMorell1,3,85,59,Catarroja,False,es,False
EVACALVONAVARRO,62,184,84,Valencia,False,es,False
Mariam041106,8,94,14,,False,es,False
helensmile3,226,362,1367,Valencia,False,es,False
VOrtu3,166,869,5476,,False,es,False
tonigalbis,20,168,3,Valencia,False,es,False
Antonio_LK,248,1542,4112,Valencia,False,es,False
Valverde961,346,378,15653,,False,es,False
SergioAVall,101,448,6745,Valencia,False,es,False
_Izquierdo,664,865,1247,Valencia,False,es,False
maesnav8,14,89,465,,False,es,False
Sempitern13,1,77,12,,False,ca,False
miguelang65,18,105,1,,False,ca,False
Tmp8924,0,787,0,,False,es,False
SonlasPol3_14,84,83,429,Valencia,False,pl,False
elenabartual,146,476,71,Valencia,False,es,False
plandesignval,370,1423,810,Valencia,False,es,False
EUGENI67433519,5,106,11,,False,es,False
_ElenaRG_,8,64,24,,False,es,False
JULIAJB,18,75,18,,False,es,False
anndreavalles,216,611,2657,,False,en,False
SalmaiaLit,1603,1055,9971,,False,ca,False
Marisa79222376,0,3,0,,False,es,False
PJordiPeris,434,734,3067,,False,ca,False
MoltoA,262,824,3373,Courage and Passion,False,es,False
julianMtnez,81,131,1552,,False,en,False
luirobal,0,11,4,,False,es,False
Ajorques,20,82,212,España,False,es,False
augustoruicci,131,530,3709,Madrid,False,es,False
JoseMarchT,52,169,864,D\u00e9nia,False,es,False
DavidFaura,124,172,3058,Ruzafa,False,es,False
lauramagr,118,290,242,,False,es,False
girona_neus,280,754,275,,False,es,False
PaulaG_28,488,390,3131,Valencia \ud83c\udf0d,False,es,False
BLANCAM18122344,37,95,681,al final,False,es,False
pitu250,100,959,100,,False,es,False
msccpe,0,10,0,,False,es,False
pacoburches,35,174,307,,False,es,False
ChiaraBarbuio,99,245,192,,False,it,False
solucioneslobo,6,414,7,Around the world,False,es,False
MinervaCanyada,120,139,1611,aon me trobe,False,es,False
sergitomas1,222,3213,5902,Alboraia,False,es,False
Miguel_Angelob,8,61,7,Valencia,False,es,False
QuimTortajada,272,733,346,,False,es,False
trezise_c,25,388,331,Portland,False,es,False
Masvicent21,374,1206,933,,False,es,False
DuniaGuimera,165,238,1945,,False,es,False
conpatadepalo,132,956,129,,False,es,False
zalvez69,83,197,448,Catarroja,False,es,False
sictiburon,41,233,4472,Cercano al 9no circulo del inf,False,en,False
fgiunchedi,502,553,2110,Doblin,False,en,False
pspvfoios,251,418,762,,False,es,False
Vader100110,24,270,427,,False,es,False
MOREMARQUESA,10,308,171,,False,es,False
SuiGeneris_Inmo,42,406,19,Valencia,False,es,False
Rulo_vcf81,45,250,537,Valencia,False,es,False
perez_marti_emi,15,146,76,,False,ca,False
Serandreu,179,611,205,Vila-real,False,es,False
cocother,257,243,2841,Valencia,False,es,False
karmmabel,59,245,291,Valencia,False,es,False
mroales,38,101,44,Valencia,False,es,False
YterLed,686,1010,30,España,False,es,False
martinmartin719,10,28,53,,False,es,False
RosasaGp,5,92,71,,False,es,False
EddyJMuskus,244,618,1640,Valencia,False,es,False
SolerGarriga,189,4131,5,Llan\u00e7\u00e0,False,es,False
ninyo_esdrujulo,14,177,215,Pen\u00ednsula Ib\u00e9rica,False,es,False
marcxat,323,375,1110,X\u00e0tiva,False,es,False
idea5xl,109,179,230,Valencia,False,es,False
qcic_,0,103,0,,False,es,False
AmparoLanga,10,32,0,,False,es,False
nasfimed,90,256,3802,,False,es,False
marian_mmacabo,19,287,54,Valencia,False,es,False
fase_studio,64,227,43,Val\u00e8ncia,False,es,False
pfuente1,152,306,1318,,False,es,False
d_g_m1111,1425,1036,17452,Valencia,False,es,False
N12_BOUTIQUES,103,168,1329,,False,es,False
chusbelles,6,114,2,,False,es,False
baliiigisbert,9,64,2,,False,es,False
soniamchanza,19,56,117,,False,es,False
Boschsson,446,940,50277,As High As I Can,False,es,False
PardoArnao,1,2,3,,False,es,False
bittersui,982,890,69374,Valencia,False,es,False
cchervas,125,824,721,a ver... ,False,es,False
MmeHulot,16,263,164,Val\u00e8ncia,False,es,False
jigraudi,39,59,26,,False,es,False
eddi6111,256,1410,15403,Valencia,False,es,False
martinezpresen,51,226,177,España,False,es,False
gongarciabullon,462,587,1683,Valencia,False,es,False
SK_Yonk,11,30,18,,False,es,False
ArmandoMuria,90,209,319,Valencia,False,es,False
Leo_Soria,1817,2572,27348,Manises,False,es,False
imjcslahoz,12,68,167,,False,es,False
XoseMerant,1814,2842,16,,False,es,False
AnaMara98031956,8,86,89,,False,es,False
PatriciaPuigS,69,1914,5512,Valencia,False,es,False
Javierrubiogom1,360,1033,545,Valencia,False,es,False
bertaasensi,278,1165,3153,vlc-pmi-vlc,False,es,False
mdeltell,1249,1178,4030,Del sud,False,ca,False
cij_riba,70,266,576,,False,es,False
imata70,86,232,99,,False,es,False
ampaelgrau,35,86,265,,False,es,False
malillacity,207,2119,6442,ghotam,False,es,False
lauxlau,71,175,139,Val\u00e8ncia,False,es,False
esthereineta,14,135,81,Valencia,False,es,False
cristinaaguir14,161,478,50,,False,es,False
celiatm25,51,199,284,,False,es,False
